text,labels,tokens
profit timewarner three yearearlier google highspeed internet higher timewarner said fourth quarter rose profit profit warner aol time warner said google internet aol fourth quarter profit three company said aol profit rose internet advertising revenue timewarner internet aol highspeed timewarner also restate sec time warner fourth quarter profit film profit yearearlier film fullyear timewarner profit performance revenue performance fullyear said timewarner also higher revenue profit timewarner restate aol deal sec company said set set deal stake aol europe advertising revenue stake aol europe stake,,"['profit', 'timewarner', 'three', 'yearearlier', 'google', 'highspeed', 'internet', 'higher', 'timewarner', 'said', 'fourth', 'quarter', 'rose', 'profit', 'profit', 'warner', 'aol', 'time', 'warner', 'said', 'google', 'internet', 'aol', 'fourth', 'quarter', 'profit', 'three', 'company', 'said', 'aol', 'profit', 'rose', 'internet', 'advertising', 'revenue', 'timewarner', 'internet', 'aol', 'highspeed', 'timewarner', 'also', 'restate', 'sec', 'time', 'warner', 'fourth', 'quarter', 'profit', 'film', 'profit', 'yearearlier', 'film', 'fullyear', 'timewarner', 'profit', 'performance', 'revenue', 'performance', 'fullyear', 'said', 'timewarner', 'also', 'higher', 'revenue', 'profit', 'timewarner', 'restate', 'aol', 'deal', 'sec', 'company', 'said', 'set', 'set', 'deal', 'stake', 'aol', 'europe', 'advertising', 'revenue', 'stake', 'aol', 'europe', 'stake']"
dollar hit euro three federal reserve head said deficit set greenspan help new york dollar euro deficit hit recent federal reserve chairman greenspan meeting dollar higher chairman taking view current account deficit time said head currency new york taking view set current account deficit deficit china remain china currency dollar currency recent chinese policy recent chinese time meeting chinese policy federal reserve quarter many believe could could help dollar recent budget current account budget many believe deficit remain,,"['dollar', 'hit', 'euro', 'three', 'federal', 'reserve', 'head', 'said', 'deficit', 'set', 'greenspan', 'help', 'new', 'york', 'dollar', 'euro', 'deficit', 'hit', 'recent', 'federal', 'reserve', 'chairman', 'greenspan', 'meeting', 'dollar', 'higher', 'chairman', 'taking', 'view', 'current', 'account', 'deficit', 'time', 'said', 'head', 'currency', 'new', 'york', 'taking', 'view', 'set', 'current', 'account', 'deficit', 'deficit', 'china', 'remain', 'china', 'currency', 'dollar', 'currency', 'recent', 'chinese', 'policy', 'recent', 'chinese', 'time', 'meeting', 'chinese', 'policy', 'federal', 'reserve', 'quarter', 'many', 'believe', 'could', 'could', 'help', 'dollar', 'recent', 'budget', 'current', 'account', 'budget', 'many', 'believe', 'deficit', 'remain']"
yukos ask production unit pay back loan rosneft bought yugansk unit sale forced tax yukos yukos menatep group ask rosneft loan yugansk rosneft said rosneft yugansk rosneft pay yugansk said menatep group rosneft company said menatep tax yugansk yukos forced sale production sale yugansk company bought rosneft yukos sale,,"['yukos', 'ask', 'production', 'unit', 'pay', 'back', 'loan', 'rosneft', 'bought', 'yugansk', 'unit', 'sale', 'forced', 'tax', 'yukos', 'yukos', 'menatep', 'group', 'ask', 'rosneft', 'loan', 'yugansk', 'rosneft', 'said', 'rosneft', 'yugansk', 'rosneft', 'pay', 'yugansk', 'said', 'menatep', 'group', 'rosneft', 'company', 'said', 'menatep', 'tax', 'yugansk', 'yukos', 'forced', 'sale', 'production', 'sale', 'yugansk', 'company', 'bought', 'rosneft', 'yukos', 'sale']"
fuel profit three december profit year eddington said quarter fuel rose profit still better market rise fullyear revenue help increased aviation fuel year fuel surcharge increased surcharge aviation analyst surcharge revenue still fuel quarter rise cargo revenue ahead year march revenue passenger however said sale better previously forecast year march revenue better chairman said previously forecast rise fullyear revenue also friday passenger rose aviation analyst revenue impact fuel cargo however impact fuel said part eddington said,,"['fuel', 'profit', 'three', 'december', 'profit', 'year', 'eddington', 'said', 'quarter', 'fuel', 'rose', 'profit', 'still', 'better', 'market', 'rise', 'fullyear', 'revenue', 'help', 'increased', 'aviation', 'fuel', 'year', 'fuel', 'surcharge', 'increased', 'surcharge', 'aviation', 'analyst', 'surcharge', 'revenue', 'still', 'fuel', 'quarter', 'rise', 'cargo', 'revenue', 'ahead', 'year', 'march', 'revenue', 'passenger', 'however', 'said', 'sale', 'better', 'previously', 'forecast', 'year', 'march', 'revenue', 'better', 'chairman', 'said', 'previously', 'forecast', 'rise', 'fullyear', 'revenue', 'also', 'friday', 'passenger', 'rose', 'aviation', 'analyst', 'revenue', 'impact', 'fuel', 'cargo', 'however', 'impact', 'fuel', 'said', 'part', 'eddington', 'said']"
food firm allied domecq could target pernod firm target allied domecq rose pernod pernod said pernod last major purchase third giant seagram three firm seagram bought market market pernod euro allied domecq euro last year pernod whisky firm firm pernod whisky rum allied domecq rum whisky food said pernod seagram purchase euro allied performance,,"['food', 'firm', 'allied', 'domecq', 'could', 'target', 'pernod', 'firm', 'target', 'allied', 'domecq', 'rose', 'pernod', 'pernod', 'said', 'pernod', 'last', 'major', 'purchase', 'third', 'giant', 'seagram', 'three', 'firm', 'seagram', 'bought', 'market', 'market', 'pernod', 'euro', 'allied', 'domecq', 'euro', 'last', 'year', 'pernod', 'whisky', 'firm', 'firm', 'pernod', 'whisky', 'rum', 'allied', 'domecq', 'rum', 'whisky', 'food', 'said', 'pernod', 'seagram', 'purchase', 'euro', 'allied', 'performance']"
japan economy technical recession three growth quarter annual data annual growth much recovery previously thought technical recession growth data view japan economy remains said economy ahead recovery much previously thought said market yet third quarter,,"['japan', 'economy', 'technical', 'recession', 'three', 'growth', 'quarter', 'annual', 'data', 'annual', 'growth', 'much', 'recovery', 'previously', 'thought', 'technical', 'recession', 'growth', 'data', 'view', 'japan', 'economy', 'remains', 'said', 'economy', 'ahead', 'recovery', 'much', 'previously', 'thought', 'said', 'market', 'yet', 'third', 'quarter']"
job expected january fall unemployment rate lowest level three labor department firm job january market new job unemployment rate lowest level since september job president net growth job economy first term net fall job last election first president since job last year election however december january first term job labor department also said job december said growth new job strong could expected given employment moderate said chief financial group employment would given low value dollar still low rate economy moderate job growth said president new,,"['job', 'expected', 'january', 'fall', 'unemployment', 'rate', 'lowest', 'level', 'three', 'labor', 'department', 'firm', 'job', 'january', 'market', 'new', 'job', 'unemployment', 'rate', 'lowest', 'level', 'since', 'september', 'job', 'president', 'net', 'growth', 'job', 'economy', 'first', 'term', 'net', 'fall', 'job', 'last', 'election', 'first', 'president', 'since', 'job', 'last', 'year', 'election', 'however', 'december', 'january', 'first', 'term', 'job', 'labor', 'department', 'also', 'said', 'job', 'december', 'said', 'growth', 'new', 'job', 'strong', 'could', 'expected', 'given', 'employment', 'moderate', 'said', 'chief', 'financial', 'group', 'employment', 'would', 'given', 'low', 'value', 'dollar', 'still', 'low', 'rate', 'economy', 'moderate', 'job', 'growth', 'said', 'president', 'new']"
india meeting friday london thursday ahead meeting india finance minister make developing india also world imf chidambaram india finance minister take account world given india china economy said globalisation globalisation chidambaram meeting part group account two world conference developing finance minister friday said exchange rate help economic exchange rate one positive conference india china take part meeting taking london friday china expected face fixed exchange rate chinese fixed exchange rate make chidambaram said imf thursday india budget deficit would economic growth forecast year march year march economy,,"['india', 'meeting', 'friday', 'london', 'thursday', 'ahead', 'meeting', 'india', 'finance', 'minister', 'make', 'developing', 'india', 'also', 'world', 'imf', 'chidambaram', 'india', 'finance', 'minister', 'take', 'account', 'world', 'given', 'india', 'china', 'economy', 'said', 'globalisation', 'globalisation', 'chidambaram', 'meeting', 'part', 'group', 'account', 'two', 'world', 'conference', 'developing', 'finance', 'minister', 'friday', 'said', 'exchange', 'rate', 'help', 'economic', 'exchange', 'rate', 'one', 'positive', 'conference', 'india', 'china', 'take', 'part', 'meeting', 'taking', 'london', 'friday', 'china', 'expected', 'face', 'fixed', 'exchange', 'rate', 'chinese', 'fixed', 'exchange', 'rate', 'make', 'chidambaram', 'said', 'imf', 'thursday', 'india', 'budget', 'deficit', 'would', 'economic', 'growth', 'forecast', 'year', 'march', 'year', 'march', 'economy']"
ethiopia million higher five report production million report food agriculture organisation world food programme said increased rise production million still need emergency assistance report emergency food food food programme five needed ethiopia last year food assistance needed help million food agriculture organisation fao food assistance bought purchase food assistance domestic said chief fao global agriculture economic ethiopia domestic agriculture,,"['ethiopia', 'million', 'higher', 'five', 'report', 'production', 'million', 'report', 'food', 'agriculture', 'organisation', 'world', 'food', 'programme', 'said', 'increased', 'rise', 'production', 'million', 'still', 'need', 'emergency', 'assistance', 'report', 'emergency', 'food', 'food', 'food', 'programme', 'five', 'needed', 'ethiopia', 'last', 'year', 'food', 'assistance', 'needed', 'help', 'million', 'food', 'agriculture', 'organisation', 'fao', 'food', 'assistance', 'bought', 'purchase', 'food', 'assistance', 'domestic', 'said', 'chief', 'fao', 'global', 'agriculture', 'economic', 'ethiopia', 'domestic', 'agriculture']"
government tobacco company smoking court demand court case could federal altria group reynolds tobacco tobacco group case government tobacco firm dollar advertising smoking firm profit year court government could firm tobacco company smoking also already many government tobacco company higher altria reynolds,,"['government', 'tobacco', 'company', 'smoking', 'court', 'demand', 'court', 'case', 'could', 'federal', 'altria', 'group', 'reynolds', 'tobacco', 'tobacco', 'group', 'case', 'government', 'tobacco', 'firm', 'dollar', 'advertising', 'smoking', 'firm', 'profit', 'year', 'court', 'government', 'could', 'firm', 'tobacco', 'company', 'smoking', 'also', 'already', 'many', 'government', 'tobacco', 'company', 'higher', 'altria', 'reynolds']"
ask jeeves third leading online firm week internet advertising firm revenue fourth quarter ask jeeves relatively profit quarter announced google earlier week quarter online advertising taken relatively last year company doubleclick one leading online advertising warned business would sale thursday announced sharp increase profit ask jeeves doubleclick profit however analyst fall quarter google,,"['ask', 'jeeves', 'third', 'leading', 'online', 'firm', 'week', 'internet', 'advertising', 'firm', 'revenue', 'fourth', 'quarter', 'ask', 'jeeves', 'relatively', 'profit', 'quarter', 'announced', 'google', 'earlier', 'week', 'quarter', 'online', 'advertising', 'taken', 'relatively', 'last', 'year', 'company', 'doubleclick', 'one', 'leading', 'online', 'advertising', 'warned', 'business', 'would', 'sale', 'thursday', 'announced', 'sharp', 'increase', 'profit', 'ask', 'jeeves', 'doubleclick', 'profit', 'however', 'analyst', 'fall', 'quarter', 'google']"
indonesia government considering raising fuel much million use year president yudhoyono government said fuel cutting government help million indonesia late december indonesia domestic fuel higher oil forced government trillion rupiah fuel trillion rupiah since president yudhoyono government raising domestic fuel cutting january march quarter year time increase fuel said state minister still considering better state budget told world business report strong public rise big whether one big sharp whether said indonesia previous government president also forced back face public,,"['indonesia', 'government', 'considering', 'raising', 'fuel', 'much', 'million', 'use', 'year', 'president', 'yudhoyono', 'government', 'said', 'fuel', 'cutting', 'government', 'help', 'million', 'indonesia', 'late', 'december', 'indonesia', 'domestic', 'fuel', 'higher', 'oil', 'forced', 'government', 'trillion', 'rupiah', 'fuel', 'trillion', 'rupiah', 'since', 'president', 'yudhoyono', 'government', 'raising', 'domestic', 'fuel', 'cutting', 'january', 'march', 'quarter', 'year', 'time', 'increase', 'fuel', 'said', 'state', 'minister', 'still', 'considering', 'better', 'state', 'budget', 'told', 'world', 'business', 'report', 'strong', 'public', 'rise', 'big', 'whether', 'one', 'big', 'sharp', 'whether', 'said', 'indonesia', 'previous', 'government', 'president', 'also', 'forced', 'back', 'face', 'public']"
japanese car maker mitsubishi deal supply car maker peugeot two firm signed agreement boost mitsubishi profit sale japan peugeot market sale mitsubishi production deal peugeot january mitsubishi third profit month cut sale year march sale past year company result japanese car maker financial last month said looking yen financial company mitsubishi group mitsubishi money deal peugeot mitsubishi chief executive three top last month firm mitsubishi forecast net yen current financial year march last month signed production agreement japanese nissan supply car sale japan car nissan since,,"['japanese', 'car', 'maker', 'mitsubishi', 'deal', 'supply', 'car', 'maker', 'peugeot', 'two', 'firm', 'signed', 'agreement', 'boost', 'mitsubishi', 'profit', 'sale', 'japan', 'peugeot', 'market', 'sale', 'mitsubishi', 'production', 'deal', 'peugeot', 'january', 'mitsubishi', 'third', 'profit', 'month', 'cut', 'sale', 'year', 'march', 'sale', 'past', 'year', 'company', 'result', 'japanese', 'car', 'maker', 'financial', 'last', 'month', 'said', 'looking', 'yen', 'financial', 'company', 'mitsubishi', 'group', 'mitsubishi', 'money', 'deal', 'peugeot', 'mitsubishi', 'chief', 'executive', 'three', 'top', 'last', 'month', 'firm', 'mitsubishi', 'forecast', 'net', 'yen', 'current', 'financial', 'year', 'march', 'last', 'month', 'signed', 'production', 'agreement', 'japanese', 'nissan', 'supply', 'car', 'sale', 'japan', 'car', 'nissan', 'since']"
